Location,Population,TotalCases,InfectionRate,DeathCount,TotalVaccinated,TotalFullyVaccinated
Uruguay,3422796,1038774,30.35,7634,983120,997434
Uzbekistan,34627648,171711,0.5,1016,9787973,5882086
Vanuatu,326744,12019,3.68,14,96141,8906
Vatican,808,26,3.22,0,0,0
Venezuela,28301700,552695,1.95,5856,9926613,9858581
Vietnam,98186856,11621997,11.84,43206,998698,9818448
Wales,3170000,0,0,0,998296,984651
Wallis and Futuna,11596,3550,30.61,8,7150,6803
Yemen,33696612,11945,0.04,2159,917435,8577
Zambia,20017670,349287,1.74,4069,90916,978860
Zimbabwe,16320539,265694,1.63,5712,988746,99745
Western Sahara,576005,0,0,0,0,0
